bairro,tipo_imovel,area_util,banheiros,suites,quartos,vagas_garagem,preco_venda
Centro,Apartamento,46.0,2.0,1.0,1.0,1.0,333900
Higienópolis,Apartamento,180.0,1.0,1.0,3.0,2.0,1260000
Higienópolis,Apartamento,106.0,3.0,1.0,3.0,1.0,910000
Higienópolis,Apartamento,290.0,1.0,1.0,4.0,2.0,1924999
Consolação,Apartamento,50.0,1.0,0.0,1.0,0.0,273000
Consolação,Apartamento,50.0,1.0,0.0,2.0,0.0,280000
Consolação,Apartamento,180.0,2.0,1.0,3.0,1.0,1190000
Higienópolis,Cobertura,180.0,3.0,1.0,2.0,1.0,1260000
Consolação,Apartamento,47.0,1.0,0.0,1.0,1.0,315000
Higienópolis,Apartamento,51.0,1.0,0.0,2.0,1.0,385000
Consolação,Apartamento,345.0,2.0,0.0,6.0,3.0,2064999
Higienópolis,Apartamento,290.0,4.0,3.0,4.0,2.0,3325000
Belém,Apartamento,60.0,2.0,1.0,3.0,1.0,271018
Bela Vista,Apartamento,138.0,3.0,0.0,2.0,0.0,560000
Sumarezinho,Apartamento,97.0,2.0,1.0,3.0,1.0,665000
Vila Madalena,Apartamento,68.0,2.0,1.0,2.0,1.0,581455
Brás,Apartamento,45.0,1.0,1.0,1.0,1.0,315000
Consolação,Apartamento,375.0,4.0,1.0,3.0,3.0,2008999
Brás,Apartamento,45.0,2.0,1.0,1.0,1.0,239066
Belém,Casa de dois andares,220.0,4.0,10.0,4.0,3.0,770000
Alto de Pinheiros,Apartamento,100.0,3.0,1.0,3.0,2.0,553000
Consolação,Apartamento,300.0,2.0,3.0,3.0,4.0,2345000
Alto da Mooca,Casa de dois andares,192.0,0.0,1.0,3.0,4.0,630000
Consolação,Apartamento,221.0,5.0,3.0,4.0,4.0,2590000
Cidade Mãe do Céu,Apartamento,75.0,1.0,0.0,3.0,2.0,455000
Água Rasa,Casa de dois andares,350.0,5.0,4.0,4.0,4.0,1035999
Sumaré,Casa de dois andares,430.0,4.0,1.0,3.0,3.0,2240000
Mooca,Apartamento,104.0,3.0,1.0,3.0,2.0,662900
Vila Gomes Cardim,Apartamento,425.0,6.0,4.0,4.0,7.0,4129999
Quarta Parada,Casa,280.0,3.0,0.0,4.0,4.0,665000
Quarta Parada,Casa,154.0,1.0,0.0,2.0,1.0,315000
Vila Euthalia,Kitnet,42.0,1.0,0.0,2.0,0.0,133000
Vila Madalena,Apartamento,120.0,4.0,1.0,3.0,3.0,1190000
Higienópolis,Apartamento,170.0,4.0,1.0,3.0,1.0,1260000
Consolação,Apartamento,160.0,5.0,3.0,3.0,2.0,1085000
Tatuapé,Apartamento,120.0,4.0,1.0,3.0,2.0,385000
Consolação,Apartamento,198.0,3.0,1.0,3.0,2.0,1378300
Vila Carrão,Apartamento,272.0,3.0,2.0,4.0,3.0,979999
Centro,Apartamento,64.0,1.0,0.0,2.0,1.0,338791
Jaguaré,Apartamento,75.0,2.0,1.0,3.0,2.0,365400
Vila Madalena,Apartamento,24.0,1.0,1.0,1.0,1.0,243599
Vila Madalena,Kitnet,24.0,1.0,0.0,1.0,1.0,272755
Sumarezinho,Casa,321.0,4.0,1.0,5.0,6.0,2590000
Centro,Apartamento,46.0,0.0,0.0,1.0,1.0,403200
Vila Carmosina,Casa,120.0,2.0,0.0,3.0,1.0,266000
Vila Dalila,Casa de dois andares,41.0,1.0,0.0,2.0,1.0,171500
Pacaembu,Casa de dois andares,437.0,5.0,1.0,3.0,3.0,1330000
Higienópolis,Apartamento,226.0,2.0,1.0,3.0,2.0,1470000
República,Apartamento,450.0,4.0,1.0,4.0,1.0,1750000
Chácara Santo Antônio (Zona Leste),Casa de dois andares,127.0,5.0,3.0,3.0,2.0,623000
Vila Carmosina,Apartamento,53.0,1.0,0.0,3.0,1.0,196000
Vila Gomes Cardim,Cobertura,350.0,5.0,3.0,3.0,5.0,3150000
Sumaré,Casa,402.0,4.0,1.0,4.0,4.0,2660000
República,Apartamento,310.0,4.0,2.0,3.0,1.0,1050000
Pacaembu,Casa,280.0,4.0,0.0,4.0,2.0,1470000
Higienópolis,Apartamento,130.0,1.0,0.0,2.0,1.0,889000
Tatuapé,Apartamento,118.0,1.0,1.0,3.0,3.0,525000
Higienópolis,Apartamento,130.0,0.0,2.0,2.0,1.0,875000
Pacaembu,Casa,310.0,4.0,1.0,3.0,4.0,2085999
Vila Carrao,Casa de dois andares,98.0,3.0,3.0,3.0,1.0,314300
Vila Dalila,Condomínio,70.0,3.0,2.0,2.0,2.0,301000
Pacaembu,Casa de dois andares,437.0,3.0,1.0,4.0,4.0,1505000
Vila Gomes Cardim,Apartamento,224.0,4.0,3.0,3.0,4.0,1295000
Higienópolis,Apartamento,190.0,1.0,0.0,3.0,2.0,1014999
Higienópolis,Apartamento,90.0,3.0,1.0,2.0,1.0,658000
Perdizes,Apartamento,122.0,4.0,3.0,3.0,3.0,1225000
Higienópolis,Apartamento,160.0,3.0,2.0,3.0,2.0,1386000
Higienópolis,Apartamento,213.0,3.0,1.0,3.0,5.0,2520000
Vila Gomes Cardim,Apartamento,225.0,5.0,3.0,3.0,4.0,1344000
Perdizes,Apartamento,140.0,4.0,3.0,3.0,3.0,1260700
Consolação,Apartamento,198.0,4.0,1.0,3.0,1.0,1400000
Sumarezinho,Cobertura,91.0,2.0,2.0,2.0,1.0,979999
Quarta Parada,Apartamento,118.0,1.0,2.0,3.0,2.0,661500
Vila Madalena,Apartamento,300.0,5.0,4.0,4.0,4.0,2380000
Vila Gomes Cardim,Apartamento,235.0,5.0,3.0,3.0,3.0,1645000
Vila Madalena,Apartamento,320.0,6.0,4.0,4.0,4.0,2380000
Tatuapé,Apartamento,133.0,3.0,2.0,3.0,3.0,910000
Sumarezinho,Apartamento,175.0,4.0,2.0,2.0,3.0,1330000
Vila Gomes Cardim,Apartamento,152.0,3.0,2.0,4.0,3.0,1046499
Tatuapé,Apartamento,76.0,0.0,1.0,3.0,2.0,343000
Quarta Parada,Apartamento,65.0,1.0,0.0,2.0,2.0,329000
Vila Gomes Cardim,Cobertura,295.0,0.0,3.0,3.0,4.0,1854999
Jaguaré,Apartamento,75.0,2.0,1.0,3.0,2.0,311500
Vila Madalena,Apartamento,83.0,3.0,1.0,3.0,2.0,595000
Vila Dalila,Casa de dois andares,154.0,4.0,1.0,3.0,4.0,525000
Higienópolis,Flat,32.0,1.0,1.0,1.0,1.0,213500
Higienópolis,Apartamento,250.0,3.0,1.0,4.0,1.0,1120000
Perdizes,Apartamento,180.0,2.0,1.0,2.0,1.0,1260000
Higienópolis,Apartamento,260.0,5.0,3.0,3.0,2.0,1820000
Higienópolis,Apartamento,225.0,1.0,1.0,3.0,1.0,1680000
Higienópolis,Apartamento,150.0,1.0,1.0,3.0,1.0,1365000
Consolação,Apartamento,300.0,4.0,2.0,3.0,2.0,2520000
Pacaembu,Casa,350.0,3.0,2.0,4.0,4.0,2240000
República,Apartamento,57.0,1.0,0.0,1.0,0.0,333900
Vila Madalena,Cobertura,128.0,1.0,1.0,2.0,1.0,1167698
Higienópolis,Apartamento,188.0,3.0,1.0,3.0,1.0,1169000
Jaguaré,Apartamento,82.0,2.0,1.0,3.0,2.0,413000
República,Kitnet,29.0,1.0,0.0,1.0,1.0,336000
Brás,Apartamento,65.0,2.0,1.0,2.0,1.0,301000
Brás,Apartamento,72.0,2.0,1.0,3.0,1.0,296380
Pacaembu,Casa de dois andares,600.0,2.0,2.0,4.0,2.0,8400000
Sumaré,Casa de dois andares,257.0,4.0,0.0,3.0,2.0,1400000
Sumaré,Casa,354.0,6.0,4.0,4.0,6.0,1680000
Belenzinho,Apartamento,47.0,1.0,0.0,2.0,1.0,195300
Pacaembu,Casa,230.0,4.0,3.0,3.0,5.0,2450000
Perdizes,Apartamento,87.0,2.0,0.0,2.0,1.0,560000
Higienópolis,Apartamento,321.0,6.0,4.0,4.0,4.0,3402000
Brás,Apartamento,60.0,1.0,0.0,1.0,0.0,154000
República,Kitnet,40.0,1.0,0.0,1.0,0.0,271880
Brás,Apartamento,70.0,2.0,0.0,2.0,0.0,388500
Pacaembu,Apartamento,330.0,0.0,4.0,4.0,4.0,2800000
Vila Gomes Cardim,Apartamento,53.0,2.0,1.0,2.0,2.0,385000
Chácara Santo Antônio (Zona Leste),Apartamento,171.0,5.0,3.0,3.0,3.0,1113000
Cidade Mãe do Céu,Casa,180.0,4.0,2.0,3.0,2.0,686000
Vila Carrão,Casa de dois andares,64.0,3.0,2.0,2.0,1.0,255499
Vila Gomes Cardim,Apartamento,114.0,4.0,3.0,3.0,3.0,665000
Vila Euthalia,Casa,79.0,1.0,0.0,2.0,0.0,192500
Quarta Parada,Casa de dois andares,540.0,4.0,0.0,6.0,3.0,1050000
Tatuapé,Casa de dois andares,186.0,4.0,1.0,3.0,6.0,1042999
Jardim Paulista,Apartamento,100.0,3.0,2.0,2.0,1.0,910000
Vila Canero,Apartamento,60.0,2.0,1.0,2.0,1.0,322000
Pinheiros,Apartamento,120.0,4.0,1.0,3.0,1.0,930999
Vila Oratório,Casa de dois andares,204.0,1.0,1.0,2.0,6.0,287000
Vila Invernada,Apartamento,130.0,4.0,3.0,3.0,3.0,574000
Pinheiros,Apartamento,180.0,2.0,1.0,3.0,1.0,1750000
Vila Formosa,Apartamento,55.0,1.0,0.0,2.0,1.0,280000
Vila Canero,Apartamento,113.0,3.0,1.0,3.0,2.0,595000
Vila Oratório,Casa de dois andares,335.0,5.0,1.0,6.0,4.0,637000
Jardim Paulista,Apartamento,293.0,5.0,4.0,4.0,5.0,2450000
Pinheiros,Apartamento,50.0,1.0,0.0,2.0,2.0,475999
Vila Butantã,Apartamento,64.0,2.0,1.0,2.0,1.0,244999
Vila Butantã,Apartamento,78.0,2.0,1.0,2.0,1.0,251999
Vila Formosa,Apartamento,56.0,1.0,0.0,2.0,1.0,251999
Vila Butantã,Apartamento,63.0,2.0,0.0,2.0,1.0,270200
Vila Indiana,Cobertura,182.0,4.0,1.0,4.0,3.0,683900
Vila Butantã,Apartamento,51.0,1.0,0.0,2.0,1.0,258999
Vila Indiana,Apartamento,95.0,3.0,1.0,3.0,2.0,639100
Vila Formosa,Apartamento,58.0,1.0,0.0,2.0,1.0,294000
Jardim Esmeralda,Apartamento,56.0,1.0,0.0,2.0,1.0,224000
Vila Polopoli,Apartamento,90.0,2.0,1.0,3.0,2.0,392000
Jardim Paulista,Apartamento,122.0,3.0,1.0,3.0,2.0,993999
Tatuapé,Apartamento,86.0,1.0,0.0,3.0,1.0,357000
Vila Nova Manchester,Apartamento,67.0,1.0,1.0,3.0,1.0,294000
Jaguare,Apartamento,50.0,1.0,0.0,2.0,1.0,182000
Jaguare,Apartamento,73.0,2.0,1.0,2.0,2.0,359800
Vila Gomes Cardim,Apartamento,92.0,3.0,1.0,3.0,2.0,581000
Jaguaré,Apartamento,82.0,0.0,1.0,3.0,0.0,370300
Vila Talarico,Casa,109.0,1.0,1.0,3.0,2.0,385000
Vila Gomes Cardim,Apartamento,126.0,4.0,3.0,3.0,3.0,665000
Vila Gomes Cardim,Apartamento,50.0,1.0,0.0,1.0,1.0,349300
Jaguare,Apartamento,70.0,2.0,1.0,3.0,2.0,387100
Jaguare,Apartamento,68.0,2.0,0.0,3.0,1.0,248499
Sumaré,Apartamento,135.0,5.0,3.0,3.0,3.0,1078000
Higienópolis,Apartamento,239.0,1.0,1.0,2.0,1.0,1610000
Higienópolis,Apartamento,274.0,3.0,1.0,2.0,2.0,2450000
Vila Madalena,Casa,180.0,3.0,2.0,3.0,4.0,1365000
Sumarezinho,Casa,120.0,4.0,0.0,6.0,5.0,1050000
Consolação,Apartamento,370.0,2.0,3.0,3.0,3.0,3220000
Vila Madalena,Casa de dois andares,520.0,5.0,3.0,3.0,4.0,2800000
Vila Buarque,Apartamento,225.0,3.0,1.0,2.0,2.0,1323000
Sumarezinho,Apartamento,143.0,2.0,1.0,3.0,3.0,840000
Higienópolis,Apartamento,230.0,2.0,0.0,4.0,2.0,1610000
Higienópolis,Apartamento,350.0,6.0,4.0,4.0,3.0,2450000
Vila Madalena,Casa,170.0,2.0,0.0,2.0,3.0,930999
Higienópolis,Apartamento,239.0,5.0,3.0,3.0,2.0,1610000
Jaguaré,Apartamento,85.0,1.0,0.0,3.0,1.0,266000
Sumaré,Apartamento,113.0,2.0,1.0,3.0,2.0,630000
Sumarezinho,Apartamento,140.0,4.0,1.0,3.0,3.0,910000
Higienópolis,Apartamento,130.0,2.0,0.0,2.0,0.0,630000
Sumaré,Casa de dois andares,343.0,5.0,2.0,4.0,4.0,2450000
Pacaembu,Casa de dois andares,500.0,6.0,2.0,4.0,10.0,1610000
Jaguaré,Apartamento,55.0,1.0,0.0,2.0,1.0,248499
Higienópolis,Apartamento,225.0,3.0,1.0,3.0,2.0,1575000
República,Apartamento,61.0,1.0,0.0,2.0,0.0,304500
Vila Pompéia,Apartamento,67.0,1.0,1.0,3.0,0.0,527730
Sumarezinho,Casa de dois andares,360.0,5.0,2.0,4.0,4.0,1540000
Sumaré,Casa,128.0,1.0,0.0,3.0,2.0,686000
Sumaré,Apartamento,105.0,2.0,1.0,2.0,1.0,630000
Sumaré,Apartamento,120.0,3.0,1.0,3.0,2.0,630000
Sumaré,Apartamento,102.0,4.0,1.0,3.0,1.0,595000
Perdizes,Apartamento,105.0,3.0,1.0,3.0,2.0,735000
Higienópolis,Flat,40.0,1.0,0.0,1.0,1.0,408100
Higienópolis,Apartamento,265.0,5.0,2.0,4.0,4.0,2800000
Santa Cecília,Apartamento,450.0,5.0,1.0,3.0,2.0,2100000
Higienópolis,Apartamento,150.0,2.0,1.0,3.0,1.0,1113000
Pacaembu,Apartamento,310.0,0.0,1.0,3.0,2.0,3010000
Higienópolis,Apartamento,202.0,5.0,3.0,3.0,3.0,1540000
Higienópolis,Apartamento,128.0,3.0,1.0,3.0,2.0,1085000
Higienópolis,Flat,40.0,1.0,1.0,1.0,1.0,297500
Vila Buarque,Apartamento,250.0,3.0,0.0,4.0,2.0,1281000
Chácara Califórnia,Apartamento,196.0,5.0,2.0,4.0,4.0,1035999
Tatuapé,Casa de dois andares,126.0,2.0,0.0,3.0,1.0,371000
Santa Cecilia,Apartamento,458.0,4.0,2.0,4.0,2.0,1610000
Higienópolis,Apartamento,300.0,4.0,1.0,5.0,3.0,2450000
Higienópolis,Apartamento,230.0,5.0,3.0,3.0,1.0,1680000
Higienópolis,Apartamento,150.0,1.0,1.0,3.0,1.0,1120000
Higienópolis,Apartamento,130.0,1.0,0.0,2.0,0.0,805000
Vila Buarque,Apartamento,55.0,1.0,0.0,1.0,1.0,409500
Higienópolis,Apartamento,220.0,1.0,1.0,3.0,2.0,1610000
Chácara Califórnia,Apartamento,40.0,1.0,0.0,2.0,0.0,147000
Vila Gomes Cardim,Apartamento,50.0,1.0,0.0,1.0,1.0,329000
Higienópolis,Apartamento,243.0,2.0,1.0,3.0,1.0,1750000
Chácara Califórnia,Apartamento,126.0,1.0,1.0,3.0,2.0,667800
Itaquera,Apartamento,50.0,1.0,0.0,2.0,1.0,185500
Belenzinho,Casa de dois andares,150.0,2.0,1.0,4.0,1.0,567000
Itaquera,Casa de dois andares,80.0,2.0,1.0,2.0,2.0,209300
Itaquera,Casa,53.0,0.0,2.0,2.0,1.0,174300
Boaçava,Casa,400.0,3.0,2.0,4.0,4.0,1679300
Jaguaré,Apartamento,70.0,2.0,1.0,2.0,1.0,315000
Sumaré,Cobertura,157.0,1.0,2.0,2.0,2.0,1279709
Sumaré,Apartamento,82.0,3.0,1.0,3.0,1.0,525000
Perdizes,Apartamento,110.0,1.0,1.0,3.0,2.0,598500
Sumaré,Apartamento,157.0,4.0,2.0,4.0,3.0,1323000
Sumaré,Apartamento,171.0,1.0,3.0,3.0,3.0,1190000
Sumaré,Apartamento,228.0,3.0,3.0,3.0,4.0,2092999
Sumaré,Apartamento,52.0,2.0,0.0,2.0,1.0,346500
Perdizes,Apartamento,103.0,3.0,1.0,3.0,2.0,630000
Perdizes,Apartamento,94.0,2.0,0.0,2.0,2.0,525000
Sumaré,Apartamento,105.0,0.0,1.0,3.0,1.0,665000
Vila Madalena,Casa de dois andares,145.0,4.0,1.0,2.0,5.0,770000
Sumaré,Apartamento,84.0,2.0,1.0,3.0,2.0,559300
Sumaré,Apartamento,61.0,2.0,1.0,2.0,2.0,437500
Perdizes,Cobertura,265.0,3.0,3.0,3.0,4.0,1732150
Vila Anglo Brasileira,Casa de dois andares,180.0,3.0,1.0,3.0,2.0,1042999
Vila Madalena,Casa,120.0,2.0,0.0,3.0,1.0,1190000
Alto de Pinheiros,Casa de dois andares,385.0,6.0,4.0,4.0,4.0,3500000
Pinheiros,Apartamento,140.0,3.0,2.0,2.0,2.0,693000
Vila Madalena,Apartamento,67.0,1.0,1.0,2.0,1.0,420000
Sumaré,Apartamento,84.0,3.0,1.0,3.0,2.0,602000
Sumaré,Apartamento,240.0,5.0,4.0,4.0,5.0,1680000
Boaçava,Apartamento,165.0,4.0,1.0,3.0,1.0,1155000
Alto de Pinheiros,Casa de dois andares,240.0,4.0,3.0,3.0,2.0,626500
Vila Ida,Casa,400.0,6.0,4.0,4.0,8.0,2485000
Sumaré,Apartamento,110.0,1.0,1.0,4.0,2.0,1014999
Higienópolis,Apartamento,276.0,4.0,1.0,3.0,2.0,1603000
Higienópolis,Apartamento,120.0,1.0,0.0,3.0,1.0,770000
Santa Cecília,Apartamento,250.0,5.0,1.0,4.0,3.0,2240000
Santa Cecília,Apartamento,188.0,3.0,1.0,3.0,2.0,1540000
Itaquera,Casa de dois andares,65.0,1.0,0.0,2.0,1.0,203000
Vila Matilde,Apartamento,115.0,4.0,0.0,3.0,3.0,525000
Consolação,Apartamento,180.0,3.0,2.0,3.0,2.0,1540000
Santa Cecília,Cobertura,453.0,5.0,4.0,4.0,4.0,3849999
Consolação,Apartamento,274.0,1.0,1.0,3.0,2.0,2450000
Vila Buarque,Apartamento,130.0,1.0,1.0,3.0,1.0,833000
Itaquera,Casa de dois andares,70.0,2.0,2.0,2.0,1.0,207900
Vila Gomes Cardim,Casa de dois andares,150.0,2.0,0.0,2.0,1.0,385000
Santa Cecília,Apartamento,600.0,1.0,4.0,4.0,4.0,7000000
Higienópolis,Apartamento,52.0,2.0,1.0,2.0,1.0,482999
Consolação,Apartamento,90.0,1.0,0.0,2.0,0.0,525000
Vila Talarico,Apartamento,57.0,1.0,0.0,3.0,0.0,220500
Consolação,Apartamento,100.0,0.0,0.0,2.0,0.0,556500
Brás,Apartamento,51.0,2.0,1.0,2.0,1.0,280000
Belenzinho,Apartamento,155.0,4.0,3.0,3.0,3.0,875000
Santa Cecília,Apartamento,100.0,1.0,0.0,2.0,1.0,661500
Vila Buarque,Apartamento,130.0,2.0,1.0,3.0,1.0,833000
Tatuapé,Casa de dois andares,103.0,1.0,0.0,2.0,1.0,525000
Santa Cecília,Apartamento,231.0,2.0,4.0,4.0,3.0,1823500
Santa Cecília,Cobertura,453.0,0.0,4.0,4.0,4.0,3640000
Santa Cecília,Apartamento,192.0,4.0,4.0,3.0,3.0,1526000
Vila Nova Savoia,Casa de dois andares,240.0,3.0,1.0,3.0,0.0,840000
Sumaré,Apartamento,102.0,3.0,1.0,3.0,2.0,679000
Tatuapé,Apartamento,85.0,1.0,1.0,3.0,2.0,503999
Chácara Califórnia,Apartamento,68.0,1.0,0.0,2.0,1.0,294000
Chácara Califórnia,Apartamento,52.0,1.0,0.0,2.0,0.0,244999
Perdizes,Apartamento,132.0,4.0,1.0,3.0,1.0,560000
Tatuapé,Casa de dois andares,220.0,5.0,1.0,3.0,2.0,805000
Belenzinho,Apartamento,69.0,2.0,1.0,2.0,1.0,349999
Conjunto Residencial José Bonifácio,Apartamento,56.0,1.0,0.0,2.0,1.0,122499
Belenzinho,Apartamento,68.0,1.0,1.0,2.0,1.0,393314
Chácara Califórnia,Apartamento,48.0,1.0,0.0,2.0,1.0,224000
Alto de Pinheiros,Apartamento,167.0,4.0,3.0,3.0,3.0,1678600
Alto da Lapa,Apartamento,143.0,3.0,3.0,3.0,3.0,1106000
Belenzinho,Apartamento,68.0,2.0,1.0,2.0,1.0,409500
Alto de Pinheiros,Cobertura,354.0,6.0,3.0,4.0,5.0,3360000
Chácara Califórnia,Apartamento,69.0,1.0,0.0,2.0,1.0,332500
Perdizes,Apartamento,416.0,6.0,4.0,4.0,6.0,4473000
Alto da Lapa,Apartamento,154.0,3.0,1.0,3.0,2.0,875000
Vila Pompeia,Apartamento,84.0,2.0,1.0,2.0,1.0,525000
Alto da Lapa,Apartamento,86.0,2.0,1.0,3.0,2.0,591500
Vila Ida,Apartamento,107.0,1.0,1.0,3.0,2.0,595000
Sumaré,Apartamento,107.0,1.0,1.0,2.0,1.0,770000
Vila Buarque,Apartamento,33.0,1.0,0.0,1.0,0.0,210000
Vila Ipojuca,Apartamento,100.0,1.0,1.0,2.0,2.0,539000
Perdizes,Apartamento,134.0,5.0,3.0,4.0,3.0,1014999
Perdizes,Apartamento,110.0,2.0,1.0,3.0,2.0,595000
Vila Ida,Apartamento,120.0,3.0,1.0,3.0,2.0,686000
Perdizes,Apartamento,226.0,4.0,3.0,4.0,3.0,1712900
República,Kitnet,31.0,1.0,1.0,1.0,0.0,258299
República,Kitnet,28.0,1.0,0.0,1.0,0.0,276677
Sumaré,Casa de dois andares,147.0,2.0,0.0,3.0,2.0,833000
Perdizes,Apartamento,134.0,4.0,1.0,3.0,1.0,770000
Alto de Pinheiros,Casa de dois andares,120.0,0.0,1.0,3.0,1.0,585900
República,Apartamento,28.0,1.0,1.0,1.0,1.0,206500
Santa Efigênia,Apartamento,44.0,1.0,0.0,1.0,1.0,309628
Perdizes,Apartamento,170.0,2.0,1.0,4.0,2.0,890400
Perdizes,Apartamento,105.0,3.0,1.0,3.0,1.0,677600
Perdizes,Cobertura,417.0,6.0,3.0,3.0,6.0,4410000
Alto de Pinheiros,Apartamento,105.0,3.0,1.0,3.0,2.0,770000
Sumaré,Apartamento,107.0,3.0,1.0,3.0,2.0,658000
Sumaré,Casa,104.0,2.0,0.0,2.0,2.0,546000
Cidade Patriarca,Casa,180.0,0.0,3.0,3.0,3.0,560000
Cidade Patriarca,Apartamento,68.0,1.0,0.0,3.0,1.0,269500
Itaquera,Casa,195.0,3.0,1.0,3.0,4.0,455000
Higienópolis,Apartamento,310.0,3.0,3.0,4.0,5.0,3150000
Santa Cecília,Apartamento,195.0,3.0,1.0,4.0,2.0,1050000
Consolação,Apartamento,170.0,0.0,2.0,3.0,1.0,1400000
Santa Cecília,Apartamento,270.0,4.0,1.0,3.0,2.0,1750000
Campos Elíseos,Kitnet,26.0,1.0,0.0,0.0,0.0,155572
Santa Cecilia,Apartamento,290.0,4.0,3.0,4.0,5.0,2145500
Santa Cecília,Apartamento,140.0,3.0,1.0,3.0,1.0,700000
Perdizes,Apartamento,63.0,2.0,1.0,2.0,1.0,602910
Alto da Lapa,Casa de dois andares,230.0,3.0,1.0,4.0,3.0,944999
Perdizes,Apartamento,36.0,0.0,0.0,1.0,1.0,350000
Alto da Lapa,Apartamento,124.0,3.0,1.0,3.0,2.0,770000
Santa Cecília,Apartamento,337.0,4.0,4.0,4.0,4.0,2450000
Centro,Apartamento,180.0,1.0,0.0,3.0,0.0,315000
Perdizes,Apartamento,70.0,1.0,0.0,1.0,0.0,385000
Alto da Lapa,Apartamento,104.0,4.0,1.0,3.0,2.0,756000
Santa Cecília,Apartamento,300.0,3.0,2.0,4.0,3.0,2100000
Pacaembu,Casa de dois andares,456.0,8.0,4.0,4.0,6.0,2170000
Santa Cecília,Apartamento,90.0,1.0,0.0,2.0,0.0,503999
Santa Cecília,Apartamento,160.0,2.0,1.0,3.0,2.0,979999
Santa Cecília,Apartamento,77.0,2.0,1.0,2.0,1.0,602000
Perdizes,Apartamento,120.0,3.0,1.0,3.0,2.0,661500
Perdizes,Apartamento,127.0,2.0,0.0,3.0,2.0,805000
Perdizes,Casa,330.0,3.0,0.0,3.0,3.0,840000
Santa Cecília,Apartamento,123.0,0.0,0.0,3.0,1.0,630000
Vila Ipojuca,Apartamento,90.0,3.0,1.0,3.0,1.0,510999
Santa Cecília,Apartamento,232.0,4.0,3.0,3.0,3.0,1680000
Santa Cecília,Apartamento,90.0,1.0,0.0,2.0,0.0,461999
Santa Cecília,Apartamento,175.0,3.0,1.0,3.0,1.0,1085000
República,Apartamento,45.0,1.0,0.0,1.0,1.0,364000
Brás,Apartamento,107.0,2.0,1.0,3.0,2.0,482999
Belenzinho,Apartamento,60.0,2.0,1.0,2.0,1.0,343000
Santa Cecília,Apartamento,175.0,2.0,1.0,3.0,1.0,1477000
Vila Gomes Cardim,Cobertura,136.0,3.0,2.0,2.0,2.0,910000
Tatuapé,Apartamento,50.0,1.0,0.0,2.0,1.0,311500
Vila Pompéia,Apartamento,69.0,2.0,1.0,3.0,2.0,553000
Vila Gomes Cardim,Apartamento,90.0,2.0,1.0,3.0,2.0,455000
Vila Gomes Cardim,Cobertura,134.0,2.0,2.0,2.0,2.0,910000
Alto de Pinheiros,Casa de dois andares,230.0,2.0,1.0,3.0,4.0,1007999
Chácara Califórnia,Apartamento,95.0,3.0,1.0,3.0,3.0,567000
Santa Efigênia,Apartamento,52.0,1.0,0.0,2.0,1.0,322000
Santa Cecília,Apartamento,42.0,1.0,0.0,1.0,1.0,230999
Santa Cecília,Apartamento,180.0,3.0,1.0,3.0,1.0,1260000
Santa Cecília,Kitnet,36.0,1.0,0.0,1.0,0.0,305450
Santa Cecília,Apartamento,55.0,1.0,0.0,1.0,0.0,294000
Santa Cecília,Apartamento,42.0,1.0,0.0,1.0,1.0,252699
Alto de Pinheiros,Apartamento,78.0,2.0,1.0,2.0,1.0,735000
Itaquera,Condomínio,234.0,3.0,0.0,4.0,2.0,329000
Tatuapé,Casa de dois andares,151.0,1.0,0.0,2.0,2.0,630000
Chácara Califórnia,Apartamento,95.0,3.0,1.0,3.0,3.0,560000
Tatuapé,Apartamento,92.0,2.0,1.0,3.0,2.0,475999
Belenzinho,Apartamento,146.0,3.0,2.0,3.0,3.0,910000
Tatuapé,Apartamento,130.0,2.0,1.0,3.0,2.0,546000
Vila Ipojuca,Apartamento,123.0,3.0,2.0,2.0,2.0,728000
Perdizes,Apartamento,94.0,3.0,1.0,3.0,2.0,595000
Vila Ipojuca,Apartamento,119.0,4.0,3.0,3.0,3.0,1067010
Vila Ipojuca,Apartamento,169.0,1.0,3.0,3.0,3.0,1412656
Perdizes,Apartamento,144.0,4.0,3.0,4.0,3.0,1120000
Vila Pompeia,Apartamento,114.0,3.0,1.0,3.0,2.0,525000
Vila Ipojuca,Apartamento,249.0,5.0,3.0,3.0,4.0,1916599
Vila Ipojuca,Apartamento,68.0,1.0,1.0,2.0,2.0,542201
Vila Ipojuca,Apartamento,68.0,2.0,1.0,2.0,2.0,486499
Alto de Pinheiros,Apartamento,120.0,3.0,1.0,3.0,3.0,672000
Alto da Lapa,Casa,173.0,3.0,1.0,4.0,5.0,665000
Alto da Lapa,Apartamento,68.0,2.0,1.0,2.0,1.0,507499
Perdizes,Apartamento,187.0,5.0,3.0,3.0,3.0,1120000
Alto da Lapa,Apartamento,89.0,4.0,2.0,3.0,2.0,833000
Vila Anglo Brasileira,Casa,280.0,3.0,1.0,3.0,3.0,2450000
Vila Ipojuca,Apartamento,69.0,2.0,1.0,2.0,1.0,468999
Vila Ipojuca,Apartamento,92.0,3.0,1.0,2.0,2.0,608367
Perdizes,Apartamento,144.0,5.0,3.0,4.0,3.0,1120000
Alto da Lapa,Cobertura,270.0,4.0,2.0,3.0,3.0,899500
Alto da Lapa,Apartamento,120.0,3.0,1.0,3.0,2.0,805000
Tatuapé,Apartamento,93.0,0.0,1.0,3.0,2.0,434000
