bairro,tipo_imovel,area_util,banheiros,suites,quartos,vagas_garagem,preco_venda
Vila Dom Pedro I,Apartamento,63.0,2.0,1.0,2.0,1.0,393400
Parque Munhoz,Apartamento,54.0,1.0,0.0,2.0,1.0,147000
Planalto Paulista,Apartamento,67.0,2.0,1.0,1.0,1.0,836500
Itaim Bibi,Flat,33.0,1.0,1.0,1.0,1.0,258999
Vila Esperança,Apartamento,52.0,1.0,0.0,2.0,1.0,217000
Chácara Belenzinho,Casa,245.0,6.0,4.0,4.0,8.0,555921
Jardim Vila Formosa,Casa de dois andares,350.0,3.0,1.0,4.0,3.0,595000
Saúde,Apartamento,56.0,2.0,0.0,2.0,1.0,287000
Moema,Apartamento,69.0,3.0,1.0,2.0,2.0,721000
Consolação,Flat,35.0,1.0,1.0,1.0,1.0,210000
Lapa,Apartamento,55.0,2.0,1.0,2.0,1.0,336000
Barra Funda,Apartamento,88.0,2.0,0.0,2.0,2.0,742000
Moema,Apartamento,92.0,3.0,1.0,3.0,1.0,629300
Morumbi,Apartamento,109.0,2.0,1.0,3.0,2.0,336000
Jardim Ester,Apartamento,68.0,0.0,0.0,2.0,1.0,217000
Chácara Santa Maria,Apartamento,54.0,1.0,0.0,2.0,1.0,130899
Vila Uberabinha,Apartamento,153.0,4.0,2.0,3.0,0.0,1042999
Vila Andrade,Apartamento,72.0,2.0,1.0,3.0,2.0,350000
Indianópolis,Apartamento,40.0,1.0,0.0,1.0,1.0,468999
Artur Alvim,Apartamento,37.0,1.0,0.0,2.0,0.0,125299
Pinheiros,Apartamento,110.0,3.0,1.0,3.0,1.0,833000
Parque Mandaqui,Apartamento,136.0,1.0,3.0,3.0,2.0,295069
Consolação,Flat,30.0,1.0,1.0,1.0,1.0,189000
Campo Belo,Flat,29.0,1.0,1.0,1.0,1.0,168000
Itaim Bibi,Flat,29.0,1.0,1.0,1.0,1.0,371000
Jardim Leonor,Casa de dois andares,584.0,7.0,4.0,6.0,6.0,1540000
Jardins,Flat,35.0,1.0,1.0,1.0,1.0,350000
Moema,Apartamento,45.0,1.0,0.0,1.0,1.0,335300
Vila Mascote,Apartamento,108.0,3.0,1.0,2.0,2.0,510999
Perdizes,Apartamento,266.0,6.0,4.0,4.0,4.0,2561999
Vila Carrão,Apartamento,125.0,4.0,3.0,3.0,2.0,770000
Ipiranga,Apartamento,59.0,2.0,1.0,2.0,2.0,348522
Vila Guilherme,Apartamento,58.0,2.0,1.0,2.0,1.0,262500
Santana,Apartamento,129.0,5.0,3.0,3.0,3.0,961099
Ipiranga,Apartamento,98.0,2.0,0.0,2.0,0.0,244999
Campo Grande,Apartamento,62.0,1.0,0.0,2.0,1.0,224000
Cerqueira César,Apartamento,125.0,3.0,0.0,3.0,1.0,595000
Jaraguá,Apartamento,43.0,1.0,0.0,2.0,1.0,182000
Mooca,Apartamento,60.0,1.0,0.0,2.0,1.0,294000
Parque São Jorge,Apartamento,66.0,1.0,1.0,2.0,1.0,343000
Moema,Apartamento,96.0,3.0,1.0,3.0,2.0,819000
